module_id,module_type_id,module_name,course_id
1,1,Introduction to Cybersecurity,1
2,4,Building a Cybersecurity Framework,1
3,2,Network Security Fundamentals,1
4,1,Advanced Data Analytics Techniques,2
5,4,Business Applications of Data Analytics,2
6,4,Creating a Data-Driven Culture,2
7,3,Introduction to Cloud Computing,3
8,1,Building a Cloud Strategy,3
9,4,Tools and Technologies for Modern Project Management,4
10,1,Risk Management in Projects,4
11,3,Managing Teams and Collaboration,4
12,2,Delivering Value in Projects,4
