inter_meeting_id,studies_id,user_id,was_present
0,1,28,1
0,1,66,1
0,1,59,1
0,1,74,1
0,1,61,1
0,1,3,1
0,1,10,1
0,1,9,1
0,1,79,1
0,1,69,1
1,1,28,1
1,1,66,1
1,1,59,1
1,1,74,1
1,1,61,1
1,1,3,1
1,1,10,1
1,1,9,1
1,1,79,1
1,1,69,1
2,1,28,1
2,1,66,1
2,1,59,1
2,1,74,1
2,1,61,1
2,1,3,1
2,1,10,1
2,1,9,1
2,1,79,1
2,1,69,1
3,1,28,1
3,1,66,1
3,1,59,1
3,1,74,1
3,1,61,1
3,1,3,1
3,1,10,1
3,1,9,1
3,1,79,1
3,1,69,1
4,2,30,1
4,2,63,1
4,2,79,1
4,2,84,1
4,2,95,1
4,2,99,1
4,2,87,1
4,2,45,1
4,2,38,1
4,2,56,1
5,2,30,1
5,2,63,1
5,2,79,1
5,2,84,1
5,2,95,1
5,2,99,1
5,2,87,1
5,2,45,1
5,2,38,1
5,2,56,1
6,2,30,1
6,2,63,1
6,2,79,1
6,2,84,1
6,2,95,1
6,2,99,1
6,2,87,1
6,2,45,1
6,2,38,1
6,2,56,1
7,2,30,1
7,2,63,1
7,2,79,1
7,2,84,1
7,2,95,1
7,2,99,1
7,2,87,1
7,2,45,1
7,2,38,1
7,2,56,1
8,3,18,1
8,3,22,1
8,3,45,1
8,3,85,1
8,3,10,1
8,3,14,1
8,3,17,1
8,3,35,1
8,3,75,1
8,3,84,1
9,3,18,1
9,3,22,1
9,3,45,1
9,3,85,1
9,3,10,1
9,3,14,1
9,3,17,1
9,3,35,1
9,3,75,1
9,3,84,1
10,3,18,1
10,3,22,1
10,3,45,1
10,3,85,1
10,3,10,1
10,3,14,1
10,3,17,1
10,3,35,1
10,3,75,1
10,3,84,1
11,3,18,1
11,3,22,1
11,3,45,1
11,3,85,1
11,3,10,1
11,3,14,1
11,3,17,1
11,3,35,1
11,3,75,1
11,3,84,1
12,4,95,1
12,4,43,1
12,4,36,1
12,4,65,1
12,4,93,1
12,4,32,1
12,4,53,1
12,4,69,1
12,4,86,1
12,4,39,1
13,4,95,1
13,4,43,1
13,4,36,1
13,4,65,1
13,4,93,1
13,4,32,1
13,4,53,1
13,4,69,1
13,4,86,1
13,4,39,1
14,4,95,1
14,4,43,1
14,4,36,1
14,4,65,1
14,4,93,1
14,4,32,1
14,4,53,1
14,4,69,1
14,4,86,1
14,4,39,1
15,4,95,1
15,4,43,1
15,4,36,1
15,4,65,1
15,4,93,1
15,4,32,1
15,4,53,1
15,4,69,1
15,4,86,1
15,4,39,1
