order_detail_id,order_id,type_id,price
1,1,1,314
2,2,1,314
3,3,1,314
4,4,1,314
5,5,1,314
6,6,1,314
7,7,1,314
8,8,1,314
9,9,1,314
10,10,1,314
11,11,1,385
12,12,1,385
13,13,1,385
14,14,1,385
15,15,1,385
16,16,1,385
17,17,1,385
18,18,1,385
19,19,1,385
20,20,1,385
21,21,1,287
22,22,1,287
23,23,1,287
24,24,1,287
25,25,1,287
26,26,1,287
27,27,1,287
28,28,1,287
29,29,1,287
30,30,1,287
31,31,1,53
32,32,1,53
33,33,1,53
34,34,1,53
35,35,1,53
36,36,1,53
37,37,1,53
38,38,1,53
39,39,1,53
40,40,1,53
41,41,2,309
42,42,2,309
43,43,2,309
44,44,2,309
45,45,2,309
46,46,2,309
47,47,2,309
48,48,2,309
49,49,2,309
50,50,2,309
51,51,2,296
52,52,2,296
53,53,2,296
54,54,2,296
55,55,2,296
56,56,2,296
57,57,2,296
58,58,2,296
59,59,2,296
60,60,2,296
61,61,2,398
62,62,2,398
63,63,2,398
64,64,2,398
65,65,2,398
66,66,2,398
67,67,2,398
68,68,2,398
69,69,2,398
70,70,2,398
71,71,2,139
72,72,2,139
73,73,2,139
74,74,2,139
75,75,2,139
76,76,2,139
77,77,2,139
78,78,2,139
79,79,2,139
80,80,2,139
