user_id,studies_id,meeting_id,was_present,did_makeup
28,1,1,1,0
66,1,1,1,0
59,1,1,1,0
74,1,1,1,0
61,1,1,1,0
3,1,1,1,0
10,1,1,1,0
9,1,1,1,0
79,1,1,1,0
69,1,1,1,0
28,1,2,1,0
66,1,2,1,0
59,1,2,1,0
74,1,2,1,0
61,1,2,1,0
3,1,2,1,0
10,1,2,1,0
9,1,2,0,0
79,1,2,0,0
69,1,2,1,0
28,1,3,0,0
66,1,3,1,0
59,1,3,1,0
74,1,3,1,0
61,1,3,1,0
3,1,3,0,0
10,1,3,1,0
9,1,3,1,0
79,1,3,1,0
69,1,3,1,0
28,1,4,1,0
66,1,4,1,0
59,1,4,1,0
74,1,4,1,0
61,1,4,1,0
3,1,4,1,0
10,1,4,1,0
9,1,4,0,0
79,1,4,1,0
69,1,4,0,0
28,1,5,1,0
66,1,5,1,0
59,1,5,1,0
74,1,5,1,0
61,1,5,1,0
3,1,5,1,0
10,1,5,1,0
9,1,5,0,0
79,1,5,1,0
69,1,5,1,0
28,1,6,1,0
66,1,6,1,0
59,1,6,1,0
74,1,6,1,0
61,1,6,1,0
3,1,6,1,0
10,1,6,1,0
9,1,6,1,0
79,1,6,1,0
69,1,6,1,0
28,1,7,1,0
66,1,7,1,0
59,1,7,1,0
74,1,7,0,0
61,1,7,0,0
3,1,7,1,0
10,1,7,0,0
9,1,7,1,0
79,1,7,1,0
69,1,7,1,0
30,2,8,1,0
63,2,8,1,0
79,2,8,1,0
84,2,8,1,0
95,2,8,1,0
99,2,8,1,0
87,2,8,1,0
45,2,8,1,0
38,2,8,1,0
56,2,8,0,0
30,2,9,1,0
63,2,9,1,0
79,2,9,1,0
84,2,9,1,0
95,2,9,1,0
99,2,9,1,0
87,2,9,1,0
45,2,9,1,0
38,2,9,1,0
56,2,9,1,0
30,2,10,1,0
63,2,10,1,0
79,2,10,1,0
84,2,10,0,0
95,2,10,1,0
99,2,10,1,0
87,2,10,1,0
45,2,10,1,0
38,2,10,1,0
56,2,10,1,0
30,2,11,1,0
63,2,11,1,0
79,2,11,1,0
84,2,11,1,0
95,2,11,1,0
99,2,11,1,0
87,2,11,1,0
45,2,11,1,0
38,2,11,1,0
56,2,11,0,0
30,2,12,1,0
63,2,12,1,0
79,2,12,1,0
84,2,12,1,0
95,2,12,1,0
99,2,12,1,0
87,2,12,1,0
45,2,12,1,0
38,2,12,1,0
56,2,12,0,0
30,2,13,1,0
63,2,13,1,0
79,2,13,1,0
84,2,13,1,0
95,2,13,1,0
99,2,13,0,0
87,2,13,1,0
45,2,13,1,0
38,2,13,1,0
56,2,13,1,0
30,2,14,0,0
63,2,14,1,0
79,2,14,1,0
84,2,14,1,0
95,2,14,1,0
99,2,14,1,0
87,2,14,1,0
45,2,14,1,0
38,2,14,0,0
56,2,14,1,0
30,2,15,1,0
63,2,15,1,0
79,2,15,1,0
84,2,15,1,0
95,2,15,1,0
