meeting_id,studies_id,meeting_date,language_id,translator_id,lecturer_id,duration,place_limit,module_id,topic_id,meeting_name,meeting_type_id
1,1,2022-10-19,1,2,7,45,10,1,0,Introduction to Cybersecurity Frameworks,2
2,1,2022-10-23,2,0,13,135,10,1,0,NIST Cybersecurity Framework Overview,2
3,1,2022-10-27,2,2,13,135,10,2,0,Securing Wireless Networks,1
4,1,2022-10-30,0,,4,45,10,2,0,Virtual Private Networks (VPNs),1
5,1,2022-10-31,2,2,1,180,10,3,0,Data Encryption and Cryptography,4
6,2,2022-11-09,1,3,2,45,10,4,0,Human Resources Analytics,2
7,2,2022-11-12,0,,2,90,10,4,0,Operational Efficiency with Analytics,2
8,2,2022-11-13,0,,4,135,10,4,0,Risk Management and Fraud Detection,3
9,2,2022-11-14,2,1,6,90,10,4,0,Case Studies of Analytics in Business,3
10,2,2022-11-17,0,,1,90,10,4,0,Scaling Analytics Across Departments,1
11,2,2022-11-19,1,1,14,135,10,5,0,Importance of a Data-Driven Mindset,2
12,2,2022-11-21,2,0,8,90,10,5,0,Training Teams in Data Literacy,1
13,2,2022-11-23,1,1,13,180,10,5,0,Encouraging Collaboration Around Data,3
14,2,2022-11-24,0,,2,135,10,5,0,Building a Data Governance Framework,2
15,2,2022-11-26,0,,2,45,10,5,0,Overcoming Resistance to Data Initiatives,2
16,2,2022-11-27,1,3,8,135,10,5,0,Ensuring Data Security and Privacy,2
17,2,2022-11-28,1,2,3,45,10,5,0,Tools for Teamwide Data Access,3
18,2,2022-12-01,1,4,14,45,10,5,0,Measuring Success in Data Adoption,1
19,2,2022-12-03,0,,3,180,10,5,0,Case Studies of Data-Driven Companies,1
20,2,2022-12-06,2,1,1,45,10,6,0,Trends in Data Analytics,4
21,3,2023-01-11,0,,1,90,10,7,0,Identifying Business Needs for the Cloud,4
22,3,2023-01-12,2,3,3,135,10,7,0,Assessing Readiness for Cloud Adoption,4
23,3,2023-01-13,0,,3,180,10,7,0,Setting Goals for Cloud Implementation,4
24,3,2023-01-16,0,,9,180,10,7,0,Choosing the Right Cloud Model,4
25,3,2023-01-18,2,1,8,180,10,7,0,Budgeting for Cloud Projects,4
26,3,2023-01-20,0,,3,135,10,7,0,Risk Management in Cloud Transition,4
27,3,2023-01-22,0,,14,135,10,7,0,Building a Migration Roadmap,4
28,3,2023-01-24,1,4,3,90,10,7,0,Evaluating Service-Level Agreements (SLAs),4
29,3,2023-01-25,2,1,3,135,10,8,0,Building a Resilient Security Framework,1
30,3,2023-01-29,0,,4,45,10,8,0,Governance for Long-Term Cloud Success,1
31,3,2023-01-31,2,2,14,180,10,8,0,Importance of Cloud Security,1
32,3,2023-02-01,0,,13,90,10,8,0,Common Cloud Security Threats,1
33,3,2023-02-03,0,,14,45,10,8,0,Data Encryption in the Cloud,1
34,3,2023-02-04,2,1,7,135,10,8,0,Identity and Access Management (IAM),1
35,3,2023-02-06,1,1,2,135,10,8,0,Ensuring Compliance with Regulations,1
36,3,2023-02-08,1,2,1,90,10,8,0,Security Best Practices for Cloud Usage,1
37,3,2023-02-09,0,,6,180,10,9,0,Real-Time Data Processing with the Cloud,4
38,3,2023-02-11,1,0,11,45,10,9,0,Integrating Cloud Services with Existing Systems,4
39,3,2023-02-12,2,0,11,45,10,9,0,Improving Collaboration Through Cloud Tools,4
40,3,2023-02-13,1,1,7,90,10,9,0,Case Studies of Cloud-Powered Operations,4
41,3,2023-02-15,1,3,0,90,10,9,0,Leveraging the Cloud for Operational Efficiency,4
