id,studies_id,meeting_id,access_to,video_link,stream_link
0,0,-1,,http://www.hunt-everett.com/,
1,0,0,,http://barajas-thomas.biz/,
2,0,1,,https://www.townsend.biz/,
3,0,2,,,http://www.wagner.com/
4,0,3,,,https://holmes.com/
5,0,4,,,https://walker.com/
6,0,5,,,http://martinez.com/
7,0,6,,,https://parker-brown.com/
8,0,7,,,http://www.carr.org/
9,0,8,,http://wilson.org/,
10,0,9,,,http://morris.org/
11,0,10,,,https://www.ramirez.com/
12,0,11,,,https://www.burnett.org/
13,0,12,,,http://craig-evans.org/
14,0,13,,,http://miller.org/
15,0,14,,,http://www.mendoza-blake.com/
16,1,15,,,http://www.may.biz/
17,1,16,,,https://www.palmer-carson.com/
18,1,17,,,https://www.sullivan-roberts.info/
19,1,18,,https://www.phillips.com/,
20,1,19,,https://www.burns.org/,
21,1,20,,https://hall.com/,
22,1,21,,https://www.white-wilson.com/,
23,1,22,,https://keller-davis.net/,
24,1,23,,http://yoder.com/,
25,1,24,,http://www.carpenter.com/,
26,1,25,,https://www.hernandez.com/,
27,1,26,,https://hamilton.org/,
28,1,27,,https://baker.org/,
29,1,29,,,http://ferguson.com/
30,1,30,,,https://sharp-fox.biz/
31,1,31,,http://lopez.net/,
32,2,33,,http://rodriguez.net/,
