id,course_id,meeting_id,access_to,video_link,stream_link
1,1,1,,https://www.wiley.net/,
2,1,2,,https://www.schultz.com/,
3,1,3,,http://www.reed.com/,
4,1,4,,http://www.goodman.com/,
5,1,5,,http://walker.com/,
6,1,6,,http://www.bolton-brennan.com/,
7,2,7,,,https://hale-flores.com/
8,2,8,,,http://carter.com/
9,2,9,,,https://sanders-frazier.net/
10,2,10,,,https://wilkerson.biz/
11,2,11,,,http://www.nelson.net/
12,2,12,,,http://www.taylor.com/
13,2,13,,,https://fox-taylor.net/
14,2,14,,,https://fisher-fuentes.biz/
15,2,15,,,https://www.williams.info/
16,2,16,,,https://thornton.com/
17,2,17,,,https://thomas-moran.com/
18,2,18,,,http://www.kim.net/
19,3,19,,,https://www.thompson-santos.net/
20,3,20,,,http://fox.com/
21,3,21,,,http://www.norman.com/
22,3,22,,,http://www.carlson-morris.net/
23,3,23,,,https://melton.biz/
